Unnamed: 0	Mô tả hàng hóa	Mã HS
	Graphit dạng bán keo. Thành phần gồm graphit, silic, nước...dùng tạo lớp phủ graphit hóa bề mặt sản phẩm	38012000
	Mẫu yêu cầu phân tích là than đá dạng bột, có hàm lượng chất bốc ( trong điều kiện khô, không có khoáng chất) là 11,63% ( trên cơ sở kết quả giám định số 14.12.17/MT.PTKS của Viện Khoa học công nghệ mỏ VINACOMIN).	27011100
	Gôm este, dạng khối không đều	38063010
	Dây thép hợp kim, trong đó Bo là nguyên tố duy nhất quyết định yếu tố thép hợp kim (hàm lượng B> 0,0008% tính theo trọng lượng), mặt cắt ngang hình tròn, đường kính 3,15mm, không phải bằng thép gió, chưa tráng phủ mạ hoặc sơn	72299020
	Theo phụ lục đính kèm.	48025690
	Dây thép hợp kim (hàm lượng Si > 0,6% tính theo trọng lượng, mẫu có thành phần hóa học không phải là thép Silic - Mangan), chưa tráng phủ mạ. Kích cỡ đường kính: ø5,0mm	72299020
	Vải dệt thoi thành phần 68,2% xơ staple rayon và 31,8% xơ bông, chưa ngâm tẩm hay tráng phủ bề mặt, đã in, dạng cuộn, khổ 1,6m.	55164400
	Xi rô đường chưa pha thêm mầu hoặc hương liệu, không chứa cồn, không có ga, có thành phần chính là fructo-oligosaccharide (hàm lượng FOS ≈ 64% khối lượng), hỗn hợp đường fructose, glucose, saccarose, hàm lượng bay hơi ≈ 20% khối lượng, đóng gói (10ml/túi; 6 túi/hộp). Cách dùng: người lớn từ 1-2 lần/ngày/10ml/lần, giảm tỷ lệ tương ứng với trẻ nhỏ, sử dụng trực tiếp hoặc thêm vào đồ uống khác.	17029091
	Điện cực bằng thép không gỉ, dạng thanh que, đã được phủ chất trợ dung, để hàn hồ quang điện	83111090
	Dây thép hợp kim, trong đó Bo, Crôm và Titan là các nguyên tố quyết định yếu tố thép hợp kim (hàm lượng B≈0,0011%, Cr ≈ 1,15%, Ti≈0,052% tính theo trọng lượng), đường kính 4,54mm	72299020
	Sản phẩm may từ vải không dệt, kích thước (21x38)cm, thành phần 100% polypropylene; đã may thành dạng gối, bên trong được nhồi đầy bằng xơ vụn; chưa ngâm tẩm hay tráng phủ.	63079090
	Vải dệt thoi thành phần 72,7% xơ staple rayon và 27,3% xơ bông, chưa ngâm tẩm hay tráng phủ bề mặt, đã in, dạng cuộn, khổ 1,6m.	55164400
	Dây thép hợp kim (trong đó B là nguyên tố duy nhất quyết định yếu tố thép hợp kim), tiết diện mặt cắt ngang hình tròn trơn, đường kính 3.4mm; thành phần hóa học không phù hợp là thép silic - mangan và thép gió	72299020
	Bộ đèn Led, dạng hình trụ tròn đường kính 70mm, chiều dài 900mm, công suất 26W, điện áp một chiều 24V, tiêu chuẩn chống nước IP68, thường được dùng để lắp dưới nước cho bể bơi	94054060
	Chế phẩm đóng rắn cho nhựa epoxy dựa trên thành phần cơ bản là polyamide và dẫn xuất amin (2,4,6-tris(dimethylaminomethyl)phenol) trong dung môi hữu cơ	38249999
	Giấy từ bột giấy hóa học đã tẩy trắng, hàm lượng bột giấy cơ học và hóa cơ dưới 10% so với tổng trọng lượng, chưa tráng phủ, chưa in, chưa nhuộm màu. Mẫu có định lượng 250g/m2, dạng cuộn, khổ 19,2 cm, hàm lượng tro 15.5%, độ trắng 91%, loại dùng để in	48025839
	Giấy phức hợp, đã phủ hai mặt bằng poly(ethylene) trong suốt, được lót ở trong một lớp nhôm mỏng, đã in, trọng lượng 225g/m2, dạng cuộn, khổ 15cm, dùng sản xuất bao bì cho đồ uống	48119049
	Thép hợp kim silic kỹ thuật điện được cán phẳng, các hạt tinh thể (cấu trúc tế vi) có định hướng, dày 0,20mm, chiều rộng 460mm, dạng cuộn	72261190
	Thép silic kỹ thuật điện được cán phẳng, các hạt tinh thể (cấu trúc tế vi) có định hướng, dày 0,3mm, chiều rộng 560mm, dạng cuộn	72261190
	Thép hợp kim (hàm lượng Cr ≈ 2,01%, Mo ≈ 0,49% tính theo trọng lượng), dạng thanh, mặt cắt ngang hình chữ nhật, chưa gia công quá mức rèn, bề mặt phủ lớp sơn đen bảo quản	72284090
	Thép hợp kim (hàm lượng Cr ≈ 5,71%, Mo ≈ 2,59% tính theo trọng lượng), dạng thanh, mặt cắt ngang hình chữ nhật, chưa gia công quá mức rèn, bề mặt phủ lớp sơn đen bảo quản	72284090
	Thép hợp kim (hàm lượng Mo ≈ 0,28%, Ni ≈ 2,97% tính theo trọng lượng), dạng thanh, mặt cắt ngang hình chữ nhật, chưa gia công quá mức rèn, bề mặt phủ lớp sơn đen bảo quản	72284090
	Chitosan ( hàm lượng 94,76%).	39139090
	Chế phẩm thực phẩm làm từ sữa dùng cho trẻ em, thành phần đã bổ sung đường, tinh bột, hoa quả nghiền, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 60g x 6 hộp, 6 hộp/1 vỉ.	19011020
	Chế phẩm thực phẩm làm từ sữa dùng cho trẻ em, thành phần đã bổ sung đường, tinh bột, hoa quả nghiền, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 55g x 6 hộp, 6 hộp/1 vỉ.	19011020
	Trichlorocarbanilide , dạng bột 	29242190
	Tributyltin chloride , dạng lỏng 	29312000
	Chế phẩm thực phẩm làm từ sữa dùng cho trẻ em, thành phần đã bổ sung đường, tinh bột, hoa quả nghiền, hương liệu, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 55g x 6 hộp, 6 hộp/1 vỉ.	19011020
	Chế phẩm thực phẩm làm từ sữa dùng cho trẻ em, thành phần đã bổ sung đường, tinh bột, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 55g x 6 hộp, 6 hộp/1 vỉ.	19011020
	Đá có nguồn gốc từ đá vôi có thành phần canxi cacbonat (CaCO3) là 95,03% và magie cacbonat (MgCO3) là 3,75% (tính theo khối lượng), kích thước từ 40-90mm	25210000
	Mẫu yêu cầu phân tích là đá có nguồn gốc từ đá vôi có thành phần canxi cacbonat (CaCO3) là 98,98% và magie cacbonat (MgCO3) là 0,60% (tính theo khối lượng), kích thước từ 40-90mm	25210000
	Mẫu yêu cầu phân tích là đá có nguồn gốc từ đá vôi có thành phần canxi cacbonat (CaCO3) là 93,40% và magie cacbonat (MgCO3) là 3,15% (tính theo khối lượng), kích thước từ 5-25mm	25210000
	Chế phẩm thực phẩm làm từ sữa dùng cho trẻ em, thành phần đã bổ sung đường, tinh bột, hoa quả nghiền, hương liệu, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 60g x 6 hộp, 6 hộp/1 vỉ.	19011020
	Chế phẩm thực phẩm làm từ sữa dùng cho trẻ em, thành phần đã bổ sung đường, tinh bột, hương liệu, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 100g x 4 hộp, 4 hộp/1 vỉ.	19011020
	Chế phẩm thực phẩm thành phần có chứa đạm, chất béo, chiết xuất từ thịt, muối ăn,… dạng lỏng, sệt, đóng gói 1kg/túi, thường dùng để chế biến nước dùng trong món mì Ranen Nhật.	21041099
	KÍnh có măt kính và gọng kính được làm bằng plastic, thiết kế dạng cong ôm khít vùng mắt, mắt kính mầu đen, có tác dụng chống tia UV và chống bụi	90041000
	chế phẩm tách khuôn không chứa dầu khoáng và dầu silicon, dạng lỏng	34039919
	Chất bả bề mặt gỗ trước khi sơn có thành phần chính gồm: polyme, tinh bột biến tính, dolomite, silic đioxit và phụ gia, dạng bột.	32141000
	Poly(vinylidene fluoride) trong dung môi hữu cơ, hàm lượng dung môi lớn hơn 50% theo trọng lượng.	32089090
	Polyisocyanate dựa trên toluene diisocyanate nguyên sinh, dạng lỏng.	39119000
	Ta nanh, dạng bột	32019000
	Copolyme Ure-melamin-formaldehyde, hàm lượng monome ure trội hơn.	39091090
	Sợi sownin (chenille) thành phần 100% rayon, độ mảnh sợi 2716 decitex, dạng cuộn	56060000
	Hỗn hợp của polypropylene và copolyme(propylene-ethylene), trong đó hàm lượng polypropylene vượt trội, dạng hạt.	39029090
	Dải vải dệt kim đan dọc từ sợi tổng hợp (84% nylon và 16% sợi polyeste) khổ hẹp 9mm, dạng cuộn	60033000
	Sản phẩm bằng plastic, từ tấm nhựa copolyethylene-vinyl acetat, loại xốp và mềm, kích thước (dài x rộng x dày) = (183,0x61,5x0,78) cm (bo tròn bốn góc), màu hồng thẫm, hai mặt được dập nổi (một mặt hình hoa văn để trang trí và một mặt tạo các gân sóng nhỏ cách đều nhau chạy dọc theo chiều ngang của mẫu để tăng độ ma sát bám dính với bề mặt tiếp xúc, dùng làm thảm trong tập luyện yoga.	39269099
	Sản phẩm từ tấm nhựa ethylene-vinyl acetat copolyme, loại xốp và mềm, kích thước (dài x rộng x dày) : (182x61x0,6) cm (bo tròn bốn góc), mặt màu xanh có hình elip nhỏ dập nổi và mặt màu nâu có hình tròn nhỏ dập nổi tạo ma sát, dùng làm thảm trong tập luyện yoga.	39269099
	Chế phẩm thực phẩm làm từ sữa, đã bổ sung đường, tinh bột, hương liệu, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 85g x 4 tuýp, 4 tuýp/1 hộp.	19019031
	chế phẩm làm sạch không chứa chất hoạt động bề mặt, dạng lỏng, đã đóng gói bán lẻ	34022015
	- Thành phần thứ nhất (Mục 3): Nhựa epoxy, nguyên sinh dạng lỏng. - Thành phần thứ hai (Mục 4): Polyamide, nguyên sinh, dạng lỏng. (Mục 3 kết hợp với mục 4 theo tỷ lệ 4:1 để tạo thành bộ sản phẩm): Chất phủ bề mặt hai thành phần đi từ nhựa epoxy, chất độn, chất màu vô cơ, dung môi và phụ gia khác.	32149000
	- Thành phần thứ nhất (Mục 1): Chế phẩm có chứa bitum dựa trên asphalt tự nhiên, tiền polyurethane và phụ gia. - Thành phần thứ hai (Mục 2): Poly [methylene (polyphenyl isocyanate)], nguyên sinh, dạng lỏng. (Mục 1 kết hợp với mục 2 theo tỷ lệ 46:1 để tạo thành bộ sản phẩm): Chất gắn hai thành phần đi từ nhựa polyurethane và aphalt dùng để bịt kín khe hở, mối nối.	32141000
	Poly (menthylene-coguanidine)	39093999
	Đá cát kết mới qua công đoạn cắt hoặc cưa đơn giản, chưa đánh bóng bề mặt, chưa được tạo hình hay gia công như quy định ở chương 68, dạng tấm, kich thước như khai báo ( 1520-2720x940-1290) chiều dầy 20mm	25162020
	Phế liệu gang, dùng làm nguyên liệu sản xuất, thu hồi được từ đấy nồi luyện gang (gang nóng đáy nồi được làm lạnh và nghiền).	72044900
	Đá cát kết mới qua công đoạn cắt hoặc cưa đơn giản, chưa đánh bóng bề mặt, chưa được tạo hình hay gia công như quy định ở chương 68, dạng tấm, kich thước như khai báo KT: Dài: 200-300Cm x Rộng: 60-90Cm, chiều dày: 19-21mm	25162020
	Copolyme ammonium acryloyldimethyltaurate vinylpyrrolidone (Ammonium acryloyldimethyltaurate/Vp copolymer) với thành phần comonome ammonium acryloyldimethyltaurate trội hơn, dạng bột.	39069099
	Chất phủ bề mặt đi từ copolyme acrylic và phụ gia phân tán trong môi trường nước, dạng lỏng.	32099000
	Màng plastic phức hợp, chưa in hình, chưa in chữ, loại không tự dính, không xốp và chưa được gia cố, chưa gắn lớp mặt, chưa được bổ trợ hoặc chưa được kết hợp tương tự với các vật liệu khác, dày ~ 192µm. Cấu tạo gồm lớp màng từ nhựa epoxy (loại polyme tái sắp xếp, dày khoảng ~ 106 µm) được ghép chặt với lớp màng từ polyetylen (dày khoảng ~56 µm), một mặt lớp màng từ polyetylen được gắn các hạt vi cầu khoáng vô cơ nhờ lớp kết dính từ copolyme etyl acrylat.	39209939
	Hỗn hợp ether-ester copolymer và polyacrylate (hàm lượng copolymer vượt trội hơn), comonomer ester no trong copolymer ether-ester vượt trội hơn, nguyên sinh, dạng hạt.	39079990
	Chế phẩm thực phẩm làm chứa sữa, đã bổ sung đường, tinh bột, hương liệu, chất làm dày,…, dạng sệt, đã đóng gói bán lẻ 85g x 4 tuýp, 4 tuýp/1 hộp.	19019031
	Sản phẩm phức hợp có cấu tạo gồm: Lớp vải dệt bề mặt là vải dệt kim đi từ polyester, lớp giữa gồm hỗn hợp bê tông khô nằm giữa lớp bề mặt và lớp đế; lớp đế đi từ vải dệt kim từ polyester, đã được phủ lớp màng PVC màu nâu đen có tổng chiều dày 1mm; lớp đế và lớp bề mặt liên kết với nhau theo không gian 3 chiều (3D) bằng các sợi cước ( đi từ polyester,) móc vào nhau và giúp cho mặt trên và bề mặt không bị dịch chuyển. Tổng chiều dày sản phẩm là 8mm, dạng cuộn mền ( theo khai báo hải quan). Công dụng ( theo hướng dẫn sử dụng trong catalog của nhà sản xuất): được làm dùng bê tông đúc sẵn cho các công trình xây dựng để trải làm bê tông bề mặt.	68109100
	Vải dệt thoi, không phải kiểu dệt vân điểm hay vân chéo, thành phần 48,2% cotton, 42,8% polyester và 9% linen, đã nhuộm, bề mặt không tráng phủ, trọng lượng 132g/m2, dạng cuộn, khổ 1,55m	52103900
	Chế phẩm thực phẩm thành phần có chứa đạm, đường, nước tương, gia vị hành, tỏi, giấm, muối… dạng lỏng, sệt, đóng gói 1kg/túi, thường dùng để chế biến đồ chấm ăn với mì khô, đóng gói 1kg/túi.	21039090
	Thép không hợp kim (hàm lượng carbon dưới 0.6% tính theo trọng lượng), được cán phẳng, cán nóng, ở dạng không cuộn, chưa được phủ, mạ hoặc tráng. Kích cỡ chiều dày 1.8mm, chiều rộng 584mm.	72111919
	khoáng flourit có chứa CaF2 trên 97% tính theo trọng lượng	25292200
	Chế phẩm thực phẩm thành phần có chứa đạm, chất béo, chiết xuất từ thịt, muối ăn,… dạng lỏng, sệt, đóng gói 1kg/túi, thường dùng để chế biến nước dùng trong các món mì .	21041099
	Chế phẩm hóa chất có chứa canxi hydroxit, kali hydroxit, dạng hạt	38249999
	Sợi cáp, thành phần gồm 62% polyethylene, 28% polyester, 10% xơ thủy tinh, độ mảnh sợi 38,8 tex, dạng cuộn, chưa đóng gói để bán lẻ.	54026900
	Mẫu yêu cầu phân tích có thành phần cơ bản là các tiền polymer và polymer MDI ( MDI prepolymer , polymeric MDI , MDI và modified MDI ) nguyên sinh , dạng lỏng .	39093100
	Dầu thầu dầu đã qua hydro hóa (sáp opal), dạng bột.	15162041
	Chế phẩm hóa học có thành phần chính là hỗn hợp dẫn xuất amin của axit béo và phụ gia, dạng lỏng	38249999
	Chế phẩm hóa học có thành phần chính gồm Ethyleneglycol và 2-Mercaptobenzothiazole, dạng lỏng	38249999
	Ethylcyclohexane. 	29021900
	Màng tự dính một mặt , đi từ 2 polypropylene trùng hợp , dạng cuộn 	39191092
	Dải làm từ polyethylene , không tự dính , không xốp , chưa được gia cố , chưa gắn lớp mặt , chưa được bổ trợ hay chưa được kết hợp tương tự với vật liệu khác , dạng cuộn , chiều rộng 7,5mm	39201090
	Chế phẩm hóa học là hõn hợp hợp chất vô cơ và phụ gia, có thành phần tính theo oxitFe2O3: 28.8%; Al2O3:51.28%;SiO2:5.16%; K2O:2.46%...	38249999
	1,4-Diethylbenzen	29029020
	Pentaerythritol tris[3-(1-aziridinyl)propionate]	29339990
	Cobalt clorua, dạng tinh thể	28273910
	 2,4-Diamino-6-methyl-1, 3, 5-triazine) 	29336900
	phụ gia dùng trong ngành sơn.Thành phần chính là muối của hexanonic acid, 2-ethyl copolyme styrene-acrylic, sáp, dẫn xuất của benzothiazole dạng bột	38249999
	Beta-hydroxyalkylamide dạng bột	29241990
	Canxi cacbonat tổng hợp bằng phương pháp kết tủa, tổng hợp	28365090
	Bis(2,4-dicumylphenyl) pentaerythritol Diphosphite	29202900
	sản phẩm dạng tấm đi từ asphalt được kết hợp với xơ sợi thủy tinh (khảng 5% khối lượng) và chất độn, có kích thước theo khai báo: 1000mmx333mmx5,2mm (chiều dài - chiều rộng-chiều dày), định lượng 3729,94 gam/m2, mầu xanh, được sử dụng ngay vafdduowjc dùng làm tấm lợp trong xây dựng	68079010
	Polyoxyethylene dimethyliminio ethylene - dimethyliminio ethylene dichloride - thuộc loại polyete, trong môi trường nước	39072090
	Hỗn hợp các este từ axit béo, dạng lỏng	38249999
	Nước dừa cô đặc (coconut water concentrate), giá trị Brix lớn hơn 20, dạng sệt lỏng, màu nâu cánh kiến	20098999
	rong biển đã sấy khô, chưa nghiền, chưa thấm tẩm, chưa chế biến, dạng tấm ép, dùng làm thức ăn cho người	12122119
	Chế phẩm phụ trợ hàn, chứa dầu silicon trong dung môi hữu cơ, đóng trong bình xịt, khối lượng 450g/lọ.	38109000
	Chế phẩm chống gỉ, ức chế ăn mòn thành phần có chứa axit axetic, 2-propyn-1-ol, hợp chất amine và phụ gia, dạng lỏng.	38249999
	Sản phẩm dinh dưỡng y tế , thành phần chính gồm : đạm sữa , đường , béo , hương cà phê , lactose v1.61 % ... dạng lỏng , đóng gói 200ml / chai 	21069096
	Hỗn hợp có chứa 1-1-Dichloro-1-fluoroethane và dichloromethane.	38247900
	Diclorofloroetan	29037300
	Chewing gum không chứa đường, thành phần chính có chứa: chất tạo ngọt (sorbitol, xylitol, aspartame…), hương liệu, chất gum nền… đóng gói dạng thanh chữ nhật 7.5cm x 2 cm x 1mm, 12 thanh/hộp.	21069099
	Chewing gum không chứa đường, thành phần chính có chứa: chất tạo ngọt (sorbitol, xylitol, aspartame…), hương liệu, chất gum nền… dạng viên hình chữ nhật 2cm x 1cm x 0.5cm, 11.84 kg/thùng	21069099
	Diisostearyl maleate	29171900
	Hỗn hợp este của axit hexadecanoic, axit octadecanoic, axit 14-methyl heptadecanoic..., dạng lỏng, sử dụng trong sản xuất mỹ phẩm.	38249999
	Đá GRANIT ( nhóm 25.16) ở dạng trộn lẫn giữa bột, hạt và mảnh, kích cỡ lớn nhất<=10mm, chưa qua xử lý nhiệt	2517490030
	Chế phẩm dùng ngoài da có thành phần gồm tinh dầu bạc hà, tinh dầu tràm, tinh dầu long não,… dạng gel đã đóng gói bán lẻ, thể tích khoảng 40ml/tuýp, có công dụng hỗ trợ giảm đau.	33012900
	Polyolefin đã clo hóa phân tán trong dung môi hữu cơ, hàm lượng dung môi < 50% tính theo trọng lượng.	39049030
	Climbazole, dạng tinh thể lỏng	29332900
	Triethyl  phosphate	29199000
	Tri-n-butylmethylammonium bis-(trifluoromethanesulfonyl) imide	29359000
	Xiro đường  đã pha thêm nước ép trái cây, hương liệu và phụ gia, đóng gói 2.5 kg/chai. Hướng dẫn xử dụng: dùng để chế biến món ăn, đồ uống	21069092
	bột carragenan tinh chế một phần.	13023911
	chế phẩm thực phẩm đồng nhất có thành phần chính từ quả lê xay nhuyễn, đã trải qua quá trình gia nhiệt, dùng làm thức ăn cho trẻ em đã đóng gói bán lẻ với trọng lượng 125g.	20071000
	Amino tris (methylene phosphonic acid) 	29313900
	Stannous  actoate ( hay Tin bis(2-ethylhexanoate)   	29159090
	Thuốc thú y chứa kháng sinh Tilmicosin sử dụng đường uống, đóng gói bán lẻ chai 250ml	30042091
	Chế phẩm dạng nhão (paste) có thành phần từ hạt dẻ cười (pistachio) đã được bóc vỏ, nướng, xay nhuyễn và trộn với phụ gia (theo tài liệu kỹ thuật mặt hàng được đóng gói 5kg/lon)	20081999
	Muội carbon, dạng bột, màu đen, loại sử dụng để sản xuất cao su.	28030041
	Màng plastic phức hợp, chưa in hình, chưa in chữ, loại không tự dính, không xốp, chưa được gia cố, chưa gắn lớp mặt, chưa được bổ trợ hoặc chưa được kết hợp tương tự với các vật liệu khác, dạng cuộn, dày khoảng 86 µm. Cấu tạo gồm 2 lớp: lớp thứ nhất là màng từ polyetylen terephtalat (dày khoảng 25µm, chiếm 42,4% về khối lượng). lớp thứ hai là màng từ polyetylen (dày khoảng 61µm, chiếm 57,6% µm về khối lượng). Trong đó, lớp thứ 2 là màng từ polyetylen mang lại đặc trưng cho sản phẩm	39201090
	Tấm vật liệu mang đặc trưng của sản phẩm nhựa gồm lớp màng Polyethylene terephthalate (là polyme trùng ngưng) ở giữa, được ép với hai lớp sản phẩm không dệt từ xơ tổng hợp, ngoài cùng được tráng phủ hai mặt với Polyethylene terephthalate (là polyme trùng ngưng) không xốp, không tự dính.	39219041
	Sản phẩm mang đặc trưng của sản phẩm nhựa gồm lớp màng Polyethylene terephthalate (là polyme trùng ngưng) ở giữa, được ép với hai lớp sản phẩm không dệt từ xô tổng hợp, ngoài cùng được tráng phủ hai mặt với Polyethyelene terephthalate (là polyme trùng ngưng), không xốp, không tự dính dạng dải, bề rộng dải 1,4cm.	39219043
	Màng plastic không xốp, chưa được gia cố, chưa được kết hợp với các vật liệu khác, kích thước 11x13cm. Thành phần cấu tạo gồm 3 lớp có thể tách rời: lớp ngoài cùng trong suốt làm từ polyethylene terephthalate chiếm ≈ 20% khối lượng (chỉ dùng để bảo vệ), lớp giữa màu vàng làm từ silicone phosphor (silicone trộn với Si, Ca, Eu...) chiếm ≈ 58% khối lượng, lớp cuối cùng trắng mờ làm từ polyethylene terephthalate chiếm ≈ 22% khối lượng (chỉ dùng để bảo vệ), sử dụng trong công đoạn gắn chip để sản xuất đèn led.	39209990
	Máy kéo trục đơn dùng trong nông nghiệp, động cơ diesel công suất 3,7 kw (truyền động từ động cơ qua hộp số xuống trục quay nằm phía dưới khung máy dẫn động hai bánh hơi đường kính 400 mm).	87011011
	Chế phẩm hóa học dùng trong xử lý nước thải , thành phần gồm : NaClO3 , NaCl , hợp chất của nitơ , ... , dạng bột	38249999
	 Chế phẩm hóa học dùng trong xử lý nước thải , thành phần có chứa trichloroisocyanuric axit , natri clorua , muối sulphat , carbonat , ... dạng bộ	38249999
	Chế phẩm hóa học dùng trong xử lý nước thải , thành phần có chứa Ca ( OH ) 2 , oxit của các kim loại ( Fe , Mg , Al , ... ) , ... dạng bột .	38249999
	Poly (vinyliden florua) nguyên sinh, dạng bột.	39046950
	Chế phẩm hóa học có chứa thành phần carbendazim, diuron và phụ gia trong môi trường nước, thường được dùng làm chất diệt nấm trong sản xuất sơn	38089290
	Tấm phủ tường, chiều rộng khoảng 92cm, bề dày khoảng 0,3mm, dạng cuộn. Cấu tạo gồm lớp giấy (chiếm khoảng 23,9% theo khối lượng), đã được phủ trên bề mặt bằng một lớp nhựa phức hợp đã được rập nổi, nhồm màu. Lớp nhựa phức hợp cấu tạo gồm lớp nhựa từ poly (vinyl clorua) (chiếm khoảng 65,5% theo khối lượng) đã được phủ 2 mặt từ copolymer ethylene (chiếm 10,6% theo khối lượng)	48142090
	Thuốc chứa hoạt chất chính là 2 selamectin , dạng dung dịch dùng ngoài , đóng gói 1 liều / tuýp , 3 tuýp / hộp . Công dụng : Tây giun và các ký sinh trùng khác	30049079
	Tấm nhựa melamin , loại xốp , không tự dính , không phải loại cứng , chưa được gia cố , chưa gắn lớp mặt , chưa được bổ trợ hoặc chưa được kết hợp tương tự với các vật liệu khác . Kích thước mẫu : ( 65x70 ) cm , dày 40mm	39211991
	Chế phẩm kháng khuẩn có thành phần chính là kẽm oxit dạng nano , chất phân tán và phụ gia , dạng lỏng 	38089490
	Sản phẩm từ tấm nhựa ethylene-vinyl acetat copolyme, loại xốp và mềm, kích thước (dài x rộng x dày) : (182 x 61,5 x 0,78) cm (bo tròn bốn góc), hai mặt màu xanh nước biển, một mặt có hình hoa văn dập nổi và một mặt kia có các gân sóng nhỏ tạo ma sát, dùng làm thảm trong tập luyện yoga.	39269099
	Tấm nhựa melamin, loại xốp, không tự dính, không phải loại cứng, chưa được gia cố, chưa gắn lớp mặt, chưa được bổ trợ hoặc chưa được kết hợp tương tự với các vật liệu khác	39211991
	Sản phẩm gốm chịu lửa chứa trên 50 % trọng lượng là oxit nhôm và dioxit silic , sử dụng để lọc dầu , Mẫu hình trụ tròn , đường kính 5,5cm , chiều cao H 3,2 cm , cóp , thông khí , màu trắng	69032000
	Sản phẩm gốm chịu lửa chứa trên 50 % trọng lượng là oxit nhôm và dioxit silic , sử dụng để lọc dầu . Mẫu hình trụ tròn , đường kính 15cm , chiều cao 1,8cm , xốp , thông khí , màu trắng 	69032000
	Vải dệt thoi từ 100 % xơ polyeste , có sợi ngang nổi vòng đã cắt ( không phải loại nhưng kº ) , chiếm 85,8 % khối lượng | mẫu ; một mặt được ép dán với lớp vải dệt thoi màu trắng ( chiếm 14,2 % khối 2 . lượng ) , định lượng mẫu 270,1 g / m , dạng cuộn , khổ 145 cm 	58013310
	Vải dệt kim đan dọc từ các sợi có mầu khác nhau, thành phần từ 96,2% polyeste và 3,8% nylon, bề mặt chưa ngâm tẩm, tráng phủ hoặc ép lớp, trọng lượng mẫu 166,7 g/m2, dạng cuộn, khổ lớn hơn 1m	60053890
	Tấm ốp tường bằng nhựa tổng hợp để trang trí đã in hình viên gạch , ( có lớp tự dính một mặt ) , Kích thước : ( 700x700x60mm + / _ 5 % . Mới 100 % , do Trung Quốc sản xuất	39199092
